Left_team_title;Moneybet_for_left_team;Score;Right_team_title;Moneybet_for_right_team;Winning_team_match_result;Hypothesis
 88 Keyd ;193201;   16 : 12   ; Bulldozer 139 ;160552;Первая команда;Гипотеза верна
 86 EOX ;683056;   16 : 14   ; Santos 140 ;308076;Первая команда;Гипотеза верна
 76 DETONA ;520395;   16 : 10   ; Isurus 73 ;562852;Первая команда;Гипотеза не верна
 133 Red Canids ;48361;   8 : 16   ; Bulldozer 139 ;19708;Вторая команда;Гипотеза не верна
 130 Youngsters ;212054;   2 : 0   ; Copenhagen Flames 68 ;520906;Первая команда;Гипотеза не верна
 62 SJ Gaming ;310466;   1 : 2   ; Copenhagen Flames 68 ;959065;Вторая команда;Гипотеза верна
 130 Youngsters ;256743;   1 : 2   ; Heretics 81 ;759771;Вторая команда;Гипотеза верна
 35 Order ;588630;   0 : 2   ; Chiefs 38 ;231130;Вторая команда;Гипотеза не верна
 81 Heretics ;844493;   2 : 1   ; Copenhagen Flames 68 ;925547;Первая команда;Гипотеза не верна
 130 Youngsters ;144278;   2 : 0   ; SJ Gaming 62 ;467408;Первая команда;Гипотеза не верна
 null Jaguar ;84358;   2 : 0   ; Magic null ;5325;Первая команда;Гипотеза верна
 118 Thunder Logic ;107999;   0 : 2   ; Bushido Boyz 102 ;139673;Вторая команда;Гипотеза верна
 122 absolute mad lads ;61835;   0 : 2   ; Just Swing null ;37000;Вторая команда;Гипотеза не верна
 6 Ence ;751877;   0 : 3   ; Liquid 2 ;3367786;Вторая команда;Гипотеза верна
 69 Unicorns of Love ;434562;   0 : 2   ; Epsilon 49 ;744101;Вторая команда;Гипотеза верна
 42 Nemiga ;44494;   2 : 0   ; BlueJays null ;14748;Первая команда;Гипотеза верна
 54 ALTERNATE aTTaX ;36196;   0 : 2   ; HAVU 48 ;81069;Вторая команда;Гипотеза верна
 11 CR4ZY ;1373918;   2 : 0   ; North 9 ;1987491;Первая команда;Гипотеза не верна
 49 Epsilon ;82287;   2 : 1   ; Copenhagen Flames 68 ;60652;Первая команда;Гипотеза верна
 null Bpro ;14572;   0 : 2   ; GAMERZONE null ;10224;Вторая команда;Гипотеза не верна
 13 FURIA ;1420200;   2 : 1   ; INTZ 45 ;318234;Первая команда;Гипотеза верна
 null PC419 ;49505;   2 : 1   ; Fanta null ;21244;Первая команда;Гипотеза верна
 null Bizarre ;30523;   2 : 1   ; Control null ;60027;Первая команда;Гипотеза не верна
 80 SYF ;16386;   2 : 0   ; MC 143 ;1276;Первая команда;Гипотеза верна
 113 Jade ;3142;   2 : 0   ; MC 143 ;1693;Первая команда;Гипотеза верна
 null heX ;121;   0 : 2   ; Bushido Boyz 102 ;447;Вторая команда;Гипотеза верна
 null Just Swing ;19944;   2 : 0   ; Prospects null ;3750;Первая команда;Гипотеза верна
 null mythic ;22205;   2 : 0   ; absolute mad lads 122 ;15274;Первая команда;Гипотеза верна
 118 Thunder Logic ;19181;   0 : 2   ; Big Frames null ;18659;Первая команда;Гипотеза верна
 2 Liquid ;2327103;   2 : 0   ; Vitality 4 ;824597;Первая команда;Гипотеза не верна
 null BlueJays ;11863;   2 : 0   ; LDLC 64 ;14394;Вторая команда;Гипотеза не верна
 48 HAVU ;19227;   2 : 1   ; Izako Boars 65 ;8520;Первая команда;Гипотеза не верна
 6 Ence ;2308368;   2 : 1   ; mibr 17 ;485675;Вторая команда;Гипотеза верна
 81 Heretics ;55713;   0 : 2   ; Copenhagen Flames 68 ;36795;Вторая команда;Гипотеза верна
